                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3647,                0.30357,                0.72631,                    nan,               0.066702,             3.3332e-05,             3.3332e-05
                      2,                  2.279,                0.31288,                0.73902,                    nan,               0.033395,             6.0065e-05,             6.0065e-05
                      3,                 2.2248,                0.32197,                0.75083,                    nan,             8.1745e-05,             8.0199e-05,             8.0199e-05
                      4,                 2.1961,                0.33178,                 0.7605,                    nan,               7.03e-05,               7.03e-05,               7.03e-05
                      5,                 2.1783,                0.34064,                0.76773,                    nan,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                 2.1657,                0.34595,                0.77212,                    nan,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 2.1544,                0.34872,                0.77507,                    nan,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                 2.1447,                0.35018,                0.77713,                    nan,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                 2.1357,                0.35102,                0.77837,                    nan,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                 2.1276,                0.35127,                  0.779,                    nan,               1.09e-05,               1.09e-05,               1.09e-05
